Homeroom #;First Name;Last Name;T-Shirt Size;Payment Method;;Total Orders (by Grade);
105;Christiana;Chen;Medium;Check Bounced;;Class;Orders
105;Derek;MacDonald;Large;Cash;;Freshmen;5
105;Esther;Yaron;Small;Pending;;Sophomore;7
105;Melissa;White;Small;Debit Card;;Junior;10
105;Nathan;Albee;Medium;Check;;Senior;5
105;Sidney;Kelly;Medium;Check;;;
110;Gabriel;Del Toro;Medium;Cash;;;
110;Kris;Ackerman;Large;Money Order;;;
110;Matt;Benson;Medium;Money Order;;;
110;Regina;Olivera;Large;Pending;;;
135;Alex;Yuen;Large;Wrong Amount;;;
135;Anisa;Naser;Small;Check Bounced;;;
135;Chantal;Weller;Medium;Debit Card;;;
135;James;Panarello;Medium;Check;;;
135;Jordan;Weller;Large;Money Order;;;
135;Lia;Richards;X-Large;Cash;;;
220-A;Brigid;Ellison;Small;Cash;;;
220-A;Chevonne;Means;Medium;Money Order;;;
220-A;Christopher;Peyton-Gomez;Small;Check;;;
220-A;Juan;Flores;X-Large;Pending;;;
220-B;Avery;Kelly;Medium;Debit Card;;;
220-B;Karla;Nichols;X-Large;Money Order;;;
220-B;Malik;Reynolds;Small;Cash;;;
220-B;Michael;Lazar;Small;Cash;;;
220-B;Samantha;Bell;Medium;Check;;;
220-B;Tyrese;Hanlon;X-Large;Debit Card;;;
220-B;Wendy;Shaw;Small;Cash;;;
